,Program,# progam,day,# week day,Time,# in hour,mean,std
717,Innovators,12913,Wednesday,1848,Night,1848,66.57039843551797,33.71199364364244
718,Innovators,12913,Wednesday,1848,Morning,1848,65.132475,33.05307652539865
719,Innovators,12913,Wednesday,1848,Afternoon,1848,64.7709375,33.95995959237386
720,Innovators,12913,Wednesday,1848,Evening,1848,59.8512504076087,33.75216785326062
725,Innovators,12913,Thursday,1803,Night,1803,66.40904041155555,33.36606599389659
726,Innovators,12913,Thursday,1803,Morning,1803,61.63322946175637,31.558002799247475
727,Innovators,12913,Thursday,1803,Afternoon,1803,63.0561651731088,35.383154155150834
728,Innovators,12913,Thursday,1803,Evening,1803,63.881658878504666,31.824178747917163
733,Innovators,12913,Friday,1897,Night,1897,68.2112037037037,32.707864255597386
734,Innovators,12913,Friday,1897,Morning,1897,64.11672,32.501618950446144
735,Innovators,12913,Friday,1897,Afternoon,1897,64.29525118080146,33.587051510954
736,Innovators,12913,Friday,1897,Evening,1897,63.81754838709677,33.772739459726566
741,Innovators,12913,Saturday,1765,Night,1765,68.11882096069868,33.0976973279092
742,Innovators,12913,Saturday,1765,Morning,1765,63.7160108684375,31.89148004351918
743,Innovators,12913,Saturday,1765,Afternoon,1765,65.49986111111112,33.5030128563715
744,Innovators,12913,Saturday,1765,Evening,1765,61.600000006243924,31.6578105277249
756,Crime Chronicles,17374,Sunday,2764,Night,2764,66.61759884482655,32.58313763186091
757,Crime Chronicles,17374,Sunday,2764,Morning,2764,66.02074646958106,33.49802556271969
758,Crime Chronicles,17374,Sunday,2764,Afternoon,2764,64.93286688722473,34.083248731385616
759,Crime Chronicles,17374,Sunday,2764,Evening,2764,65.18029221456935,33.916817593126545
764,Crime Chronicles,17374,Monday,2669,Night,2669,69.13817208271787,32.662945584661706
765,Crime Chronicles,17374,Monday,2669,Morning,2669,67.0657964948513,32.38799243234862
766,Crime Chronicles,17374,Monday,2669,Afternoon,2669,63.19946693990876,33.06364897996931
767,Crime Chronicles,17374,Monday,2669,Evening,2669,67.4100961496104,32.451984631365974
772,Crime Chronicles,17374,Tuesday,2098,Night,2098,70.05687250996017,32.563471789563565
773,Crime Chronicles,17374,Tuesday,2098,Morning,2098,65.8847637045824,35.516621107651716
774,Crime Chronicles,17374,Tuesday,2098,Afternoon,2098,65.15377637317016,33.75308120087244
775,Crime Chronicles,17374,Tuesday,2098,Evening,2098,67.35254180893972,32.969746150847755
780,Crime Chronicles,17374,Wednesday,2745,Night,2745,67.38039603960397,32.6180870480749
781,Crime Chronicles,17374,Wednesday,2745,Morning,2745,64.15672822645756,34.58646647451263
782,Crime Chronicles,17374,Wednesday,2745,Afternoon,2745,65.93926148409895,33.249630276347524
783,Crime Chronicles,17374,Wednesday,2745,Evening,2745,66.55820230897011,34.40673874858508
788,Crime Chronicles,17374,Thursday,2228,Night,2228,64.90407407407407,33.033421722825885
789,Crime Chronicles,17374,Thursday,2228,Morning,2228,65.26910447761193,35.30245722858132
790,Crime Chronicles,17374,Thursday,2228,Afternoon,2228,65.56113004567308,35.84874953006911
791,Crime Chronicles,17374,Thursday,2228,Evening,2228,63.312296590371055,35.514758387820635
796,Crime Chronicles,17374,Friday,2527,Night,2527,66.98022825617284,32.6155414641976
797,Crime Chronicles,17374,Friday,2527,Morning,2527,69.59472349377359,33.46834975016455
798,Crime Chronicles,17374,Friday,2527,Afternoon,2527,64.39249969416161,33.274798896322956
799,Crime Chronicles,17374,Friday,2527,Evening,2527,63.171050066160404,33.43249370973089
804,Crime Chronicles,17374,Saturday,2343,Night,2343,64.26990212210166,33.90639201082017
805,Crime Chronicles,17374,Saturday,2343,Morning,2343,65.68847197903564,34.51929944236783
806,Crime Chronicles,17374,Saturday,2343,Afternoon,2343,65.17017580722641,34.72237795437126
807,Crime Chronicles,17374,Saturday,2343,Evening,2343,69.04953007518797,34.41633294273349
819,Tech Talks,22847,Sunday,3398,Night,3398,66.82603817398487,31.11483676216106
820,Tech Talks,22847,Sunday,3398,Morning,3398,63.81324074074074,31.908561822231338
821,Tech Talks,22847,Sunday,3398,Afternoon,3398,64.6687587557229,33.41827561673276
822,Tech Talks,22847,Sunday,3398,Evening,3398,64.42106823954414,31.63523517442092
827,Tech Talks,22847,Monday,3204,Night,3204,65.44579141104295,32.147076314315164
828,Tech Talks,22847,Monday,3204,Morning,3204,64.12157785030173,33.264629049309725
829,Tech Talks,22847,Monday,3204,Afternoon,3204,67.175506512301,32.53331221131236
830,Tech Talks,22847,Monday,3204,Evening,3204,61.48479819616099,32.04805497674329
835,Tech Talks,22847,Tuesday,2990,Night,2990,69.8493488372093,33.69060043929793
836,Tech Talks,22847,Tuesday,2990,Morning,2990,62.6387037037037,33.35704487556049
837,Tech Talks,22847,Tuesday,2990,Afternoon,2990,64.32802959339477,33.77663505582242
838,Tech Talks,22847,Tuesday,2990,Evening,2990,65.68249312924962,33.708634151209
843,Tech Talks,22847,Wednesday,3422,Night,3422,65.52024499035186,33.150633259867725
844,Tech Talks,22847,Wednesday,3422,Morning,3422,62.033128362154294,34.24493759412441
845,Tech Talks,22847,Wednesday,3422,Afternoon,3422,61.56070287671233,34.22477813704957
846,Tech Talks,22847,Wednesday,3422,Evening,3422,65.3251893939394,32.689961455917455
851,Tech Talks,22847,Thursday,3521,Night,3521,64.51373269096106,33.90462081641784
852,Tech Talks,22847,Thursday,3521,Morning,3521,60.849327846364886,35.039770300430476
853,Tech Talks,22847,Thursday,3521,Afternoon,3521,59.85934808509283,35.01030692966133
854,Tech Talks,22847,Thursday,3521,Evening,3521,61.653564034110516,33.45112392129012
859,Tech Talks,22847,Friday,3244,Night,3244,65.4946798663304,33.037773800633296
860,Tech Talks,22847,Friday,3244,Morning,3244,61.91769794721408,32.892337629334584
861,Tech Talks,22847,Friday,3244,Afternoon,3244,64.55578786188202,32.50070348216902
862,Tech Talks,22847,Friday,3244,Evening,3244,65.51372176873546,31.65318636253234
867,Tech Talks,22847,Saturday,3068,Night,3068,67.63397541243171,33.35778007637807
868,Tech Talks,22847,Saturday,3068,Morning,3068,65.98781759075908,33.22535956761893
869,Tech Talks,22847,Saturday,3068,Afternoon,3068,63.590818320610694,33.15131951325618
870,Tech Talks,22847,Saturday,3068,Evening,3068,64.0837210212766,31.213139774838837
882,Style Guide,19364,Sunday,3122,Night,3122,66.89630710659898,32.188486343011405
883,Style Guide,19364,Sunday,3122,Morning,3122,62.1075456662813,31.745164528471363
884,Style Guide,19364,Sunday,3122,Afternoon,3122,65.67256499133448,32.380470258680404
885,Style Guide,19364,Sunday,3122,Evening,3122,64.90836942675159,32.00398279808125
890,Style Guide,19364,Monday,2888,Night,2888,63.43865804664723,31.535519749686426
891,Style Guide,19364,Monday,2888,Morning,2888,62.61503995516239,32.077875844699975
892,Style Guide,19364,Monday,2888,Afternoon,2888,66.48655606088187,31.789927738613102
893,Style Guide,19364,Monday,2888,Evening,2888,63.73689213151895,32.392671788460845
898,Style Guide,19364,Tuesday,2498,Night,2498,64.480367278798,32.63529138337192
899,Style Guide,19364,Tuesday,2498,Morning,2498,64.01058607177481,31.983456854765354
900,Style Guide,19364,Tuesday,2498,Afternoon,2498,61.94118852459017,32.30065878472798
901,Style Guide,19364,Tuesday,2498,Evening,2498,61.4379180650329,33.1973117318876
906,Style Guide,19364,Wednesday,2723,Night,2723,66.12322727272728,32.89695006470663
907,Style Guide,19364,Wednesday,2723,Morning,2723,65.17344444444444,33.34761811771454
908,Style Guide,19364,Wednesday,2723,Afternoon,2723,66.30308377896613,32.75116389330588
909,Style Guide,19364,Wednesday,2723,Evening,2723,64.3810312491003,33.660493357454186
914,Style Guide,19364,Thursday,2498,Night,2498,63.64313482487884,32.72343393795518
915,Style Guide,19364,Thursday,2498,Morning,2498,63.438304431599235,32.82441368553343
916,Style Guide,19364,Thursday,2498,Afternoon,2498,61.90776842105264,32.078890493012906
917,Style Guide,19364,Thursday,2498,Evening,2498,64.66557142857143,34.4744559600714
922,Style Guide,19364,Friday,2763,Night,2763,65.33501637976266,31.57982081488708
923,Style Guide,19364,Friday,2763,Morning,2763,65.9537788778878,32.30420540252019
924,Style Guide,19364,Friday,2763,Afternoon,2763,62.406585365853665,33.599242319023936
925,Style Guide,19364,Friday,2763,Evening,2763,62.791228742138365,32.78595557071314
930,Style Guide,19364,Saturday,2872,Night,2872,64.74895979424288,32.20351333899877
931,Style Guide,19364,Saturday,2872,Morning,2872,64.71893676472648,31.897811779893726
932,Style Guide,19364,Saturday,2872,Afternoon,2872,64.55292713166143,32.697263854662225
933,Style Guide,19364,Saturday,2872,Evening,2872,67.1189915891006,32.21388381419523
945,World Watch,14043,Sunday,2257,Night,2257,62.833601744135656,33.192393036421436
946,World Watch,14043,Sunday,2257,Morning,2257,59.976381264779306,35.45969326138143
947,World Watch,14043,Sunday,2257,Afternoon,2257,62.80566878980892,35.39637942671332
948,World Watch,14043,Sunday,2257,Evening,2257,59.06517467638447,34.63839566965423
953,World Watch,14043,Monday,2086,Night,2086,64.72186627582688,32.40510565170348
954,World Watch,14043,Monday,2086,Morning,2086,60.30736708167464,33.969266616502765
955,World Watch,14043,Monday,2086,Afternoon,2086,63.76381126873706,31.54043961102142
956,World Watch,14043,Monday,2086,Evening,2086,62.91769574944071,33.16390669101521
961,World Watch,14043,Tuesday,1860,Night,1860,64.62033578431372,31.9665100722461
962,World Watch,14043,Tuesday,1860,Morning,1860,64.96323907455013,32.123601639057554
963,World Watch,14043,Tuesday,1860,Afternoon,1860,67.20902964959569,32.119638113923216
964,World Watch,14043,Tuesday,1860,Evening,1860,66.53882620605702,32.465035539988264
969,World Watch,14043,Wednesday,2078,Night,2078,65.72431101967673,32.58071051953292
970,World Watch,14043,Wednesday,2078,Morning,2078,63.063280882352934,34.17858160423101
971,World Watch,14043,Wednesday,2078,Afternoon,2078,62.33902444756099,32.156575836805466
972,World Watch,14043,Wednesday,2078,Evening,2078,64.00214598799619,33.23854522277021
977,World Watch,14043,Thursday,1870,Night,1870,64.20331887201735,32.38172816849858
978,World Watch,14043,Thursday,1870,Morning,1870,63.82099150141644,33.607157819199564
979,World Watch,14043,Thursday,1870,Afternoon,1870,66.01723652173914,32.14291386815464
980,World Watch,14043,Thursday,1870,Evening,1870,66.02786924939468,34.124179876518625
985,World Watch,14043,Friday,1947,Night,1947,65.18905488457712,32.4242223111161
986,World Watch,14043,Friday,1947,Morning,1947,62.00102325581395,33.45329095729721
987,World Watch,14043,Friday,1947,Afternoon,1947,63.38336187839907,33.24087414805508
988,World Watch,14043,Friday,1947,Evening,1947,60.76265254237288,34.23630784453748
993,World Watch,14043,Saturday,1945,Night,1945,66.32929223744293,32.53178094343242
994,World Watch,14043,Saturday,1945,Morning,1945,59.78361821934382,33.7119374387898
995,World Watch,14043,Saturday,1945,Afternoon,1945,64.57204358603597,33.496705149553534
996,World Watch,14043,Saturday,1945,Evening,1945,63.43071057928119,32.16532861612724
1008,Sports Weekly,20053,Sunday,3131,Night,3131,65.94241283124127,31.82445389662106
1009,Sports Weekly,20053,Sunday,3131,Morning,3131,66.22412675409836,32.23946143435165
1010,Sports Weekly,20053,Sunday,3131,Afternoon,3131,67.30670382165606,31.429998395891253
1011,Sports Weekly,20053,Sunday,3131,Evening,3131,67.06354025517624,31.15356785134887
1016,Sports Weekly,20053,Monday,3077,Night,3077,70.01459689150073,30.4325493651487
1017,Sports Weekly,20053,Monday,3077,Morning,3077,67.07934502519684,31.209700111844825
1018,Sports Weekly,20053,Monday,3077,Afternoon,3077,69.91782792738276,31.634699681013302
1019,Sports Weekly,20053,Monday,3077,Evening,3077,64.81216596343178,30.78146993955979
1024,Sports Weekly,20053,Tuesday,2626,Night,2626,68.88486256781194,30.097450002894437
1025,Sports Weekly,20053,Tuesday,2626,Morning,2626,67.49364436619719,32.1295031624776
1026,Sports Weekly,20053,Tuesday,2626,Afternoon,2626,70.01702359346642,30.657928843010232
1027,Sports Weekly,20053,Tuesday,2626,Evening,2626,66.67938271604939,31.731972203072704
1032,Sports Weekly,20053,Wednesday,2679,Night,2679,69.15244218120804,31.648323202895863
1033,Sports Weekly,20053,Wednesday,2679,Morning,2679,67.36734579439252,32.91600416811226
1034,Sports Weekly,20053,Wednesday,2679,Afternoon,2679,69.58362847222222,30.39245502813781
1035,Sports Weekly,20053,Wednesday,2679,Evening,2679,66.38561108112324,31.49618613627534
1040,Sports Weekly,20053,Thursday,2831,Night,2831,68.10387542922375,31.0213871151572
1041,Sports Weekly,20053,Thursday,2831,Morning,2831,64.13466783216784,31.073925375517604
1042,Sports Weekly,20053,Thursday,2831,Afternoon,2831,65.28938744268076,31.840845883032813
1043,Sports Weekly,20053,Thursday,2831,Evening,2831,68.20661507836991,30.600673868421893
1048,Sports Weekly,20053,Friday,2994,Night,2994,68.30778711811263,31.039891668963808
1049,Sports Weekly,20053,Friday,2994,Morning,2994,64.66602006688963,33.2119462606207
1050,Sports Weekly,20053,Friday,2994,Afternoon,2994,64.3503001579779,33.00373904889007
1051,Sports Weekly,20053,Friday,2994,Evening,2994,66.67661360347323,32.918036738520684
1056,Sports Weekly,20053,Saturday,2715,Night,2715,67.23596244131456,31.593077918862257
1057,Sports Weekly,20053,Saturday,2715,Morning,2715,64.86618852459016,31.33217324587228
1058,Sports Weekly,20053,Saturday,2715,Afternoon,2715,68.44438612627987,31.454042180873092
1059,Sports Weekly,20053,Saturday,2715,Evening,2715,65.15480520289157,32.014663700147935
1071,Global News,13649,Sunday,2103,Night,2103,67.95776816971954,29.970392094048808
1072,Global News,13649,Sunday,2103,Morning,2103,63.30331532178217,32.31309309412112
1073,Global News,13649,Sunday,2103,Afternoon,2103,63.91257330415755,33.225344947907516
1074,Global News,13649,Sunday,2103,Evening,2103,65.76193952331313,31.909465126853377
1079,Global News,13649,Monday,2051,Night,2051,68.16095918367347,31.74918437511487
1080,Global News,13649,Monday,2051,Morning,2051,65.56559516039216,31.41939169620641
1081,Global News,13649,Monday,2051,Afternoon,2051,65.07453963028635,31.06690277925889
1082,Global News,13649,Monday,2051,Evening,2051,66.30104854368932,31.71006179640589
1087,Global News,13649,Tuesday,1800,Night,1800,67.318411905427,32.32137832201711
1088,Global News,13649,Tuesday,1800,Morning,1800,64.59479274611398,32.07183298061018
1089,Global News,13649,Tuesday,1800,Afternoon,1800,62.58593695544554,32.644181835758154
1090,Global News,13649,Tuesday,1800,Evening,1800,68.45002987120878,32.10764152234414
1095,Global News,13649,Wednesday,1985,Night,1985,66.47431235431235,30.65306005070783
1096,Global News,13649,Wednesday,1985,Morning,1985,64.78797783933518,32.93499317779995
1097,Global News,13649,Wednesday,1985,Afternoon,1985,64.68667978232217,31.959153156683275
1098,Global News,13649,Wednesday,1985,Evening,1985,64.05796826175869,31.919549395666813
1103,Global News,13649,Thursday,1866,Night,1866,65.21619904761904,32.90411963852616
1104,Global News,13649,Thursday,1866,Morning,1866,65.59826802340315,32.62590032814804
1105,Global News,13649,Thursday,1866,Afternoon,1866,65.49976953348235,33.471796310998165
1106,Global News,13649,Thursday,1866,Evening,1866,65.05555555555556,32.5080303606554
1111,Global News,13649,Friday,1953,Night,1953,66.92323845165784,33.5494293245694
1112,Global News,13649,Friday,1953,Morning,1953,66.5024,32.79016710933833
1113,Global News,13649,Friday,1953,Afternoon,1953,66.04033308781251,33.32360321746549
1114,Global News,13649,Friday,1953,Evening,1953,64.29409766454351,32.16456327420332
1119,Global News,13649,Saturday,1891,Night,1891,71.14363565031117,32.22230907183361
1120,Global News,13649,Saturday,1891,Morning,1891,66.54605405405405,32.345064355807864
1121,Global News,13649,Saturday,1891,Afternoon,1891,65.53818368037693,31.79331723676781
1122,Global News,13649,Saturday,1891,Evening,1891,64.47075921908893,31.236008729971488
1134,Humor Hub,16144,Sunday,2567,Night,2567,65.40378912685338,31.929804922431046
1135,Humor Hub,16144,Sunday,2567,Morning,2567,65.97986940298507,32.063286102392055
1136,Humor Hub,16144,Sunday,2567,Afternoon,2567,65.58984819734347,32.97803950101528
1137,Humor Hub,16144,Sunday,2567,Evening,2567,65.51670491803279,32.84801154596151
1142,Humor Hub,16144,Monday,2309,Night,2309,63.92244485294117,33.04249347496332
1143,Humor Hub,16144,Monday,2309,Morning,2309,60.72588357588358,32.187256149544915
1144,Humor Hub,16144,Monday,2309,Afternoon,2309,61.8859342915811,32.25716168765972
1145,Humor Hub,16144,Monday,2309,Evening,2309,66.46992349295147,32.61923385236777
1150,Humor Hub,16144,Tuesday,1945,Night,1945,68.71326484018265,32.59482058051086
1151,Humor Hub,16144,Tuesday,1945,Morning,1945,63.38105022831051,32.90674591996221
1152,Humor Hub,16144,Tuesday,1945,Afternoon,1945,69.41371115039442,31.503762009499503
1153,Humor Hub,16144,Tuesday,1945,Evening,1945,66.77803272540046,31.929506431226155
1158,Humor Hub,16144,Wednesday,2375,Night,2375,68.58165027322404,32.18410790845179
1159,Humor Hub,16144,Wednesday,2375,Morning,2375,66.05045617536535,32.805011510181465
1160,Humor Hub,16144,Wednesday,2375,Afternoon,2375,66.42373540856032,32.5386691479255
1161,Humor Hub,16144,Wednesday,2375,Evening,2375,65.45087982931034,32.842415822945725
1166,Humor Hub,16144,Thursday,2323,Night,2323,65.37662593394495,32.2562845476202
1167,Humor Hub,16144,Thursday,2323,Morning,2323,66.18909274193548,34.78223343912239
1168,Humor Hub,16144,Thursday,2323,Afternoon,2323,66.48113198177676,33.026510746618726
1169,Humor Hub,16144,Thursday,2323,Evening,2323,65.67674176776428,32.32841182675839
1174,Humor Hub,16144,Friday,2343,Night,2343,64.57226765799257,31.957889809953574
1175,Humor Hub,16144,Friday,2343,Morning,2343,67.50438637010676,32.87051999939725
1176,Humor Hub,16144,Friday,2343,Afternoon,2343,63.53259573843057,31.706490202487345
1177,Humor Hub,16144,Friday,2343,Evening,2343,64.75906538932806,32.40718917793109
1182,Humor Hub,16144,Saturday,2282,Night,2282,68.09510572952382,32.78462054098641
1183,Humor Hub,16144,Saturday,2282,Morning,2282,64.03033303960397,34.081156592074976
1184,Humor Hub,16144,Saturday,2282,Afternoon,2282,62.20714596949892,33.61371146078044
1185,Humor Hub,16144,Saturday,2282,Evening,2282,62.97218093808631,32.82669648192513
1197,Business Insights,19480,Sunday,3100,Night,3100,63.02681925490515,30.793941442764627
1198,Business Insights,19480,Sunday,3100,Morning,3100,58.18683339152108,32.55637084075089
1199,Business Insights,19480,Sunday,3100,Afternoon,3100,62.03996810207336,30.791323665896897
1200,Business Insights,19480,Sunday,3100,Evening,3100,64.20697611293629,34.00919483241901
1205,Business Insights,19480,Monday,2870,Night,2870,66.2452640272929,32.103458804600784
1206,Business Insights,19480,Monday,2870,Morning,2870,62.96386206896552,31.801235193664613
1207,Business Insights,19480,Monday,2870,Afternoon,2870,64.41818759936407,31.555191754230858
1208,Business Insights,19480,Monday,2870,Evening,2870,63.902375000000006,31.710840205296073
1213,Business Insights,19480,Tuesday,2660,Night,2660,65.56372499147976,32.475707288673476
1214,Business Insights,19480,Tuesday,2660,Morning,2660,65.6873545966229,30.56958762459119
1215,Business Insights,19480,Tuesday,2660,Afternoon,2660,62.84169943748299,32.03782934968902
1216,Business Insights,19480,Tuesday,2660,Evening,2660,61.54690265486725,32.766050278457975
1221,Business Insights,19480,Wednesday,2792,Night,2792,64.66699287749289,32.919646915740316
1222,Business Insights,19480,Wednesday,2792,Morning,2792,63.74831868421053,32.603469686650335
1223,Business Insights,19480,Wednesday,2792,Afternoon,2792,63.230561797752806,31.48734392062686
1224,Business Insights,19480,Wednesday,2792,Evening,2792,62.42338350000001,32.65911747540644
1229,Business Insights,19480,Thursday,2519,Night,2519,62.187109375,32.97916604998754
1230,Business Insights,19480,Thursday,2519,Morning,2519,61.893471933471936,33.39076564279758
1231,Business Insights,19480,Thursday,2519,Afternoon,2519,63.184018450184496,33.44259499422709
1232,Business Insights,19480,Thursday,2519,Evening,2519,63.1689038638899,32.388669451074
1237,Business Insights,19480,Friday,2844,Night,2844,61.79348106642056,32.0005213957737
1238,Business Insights,19480,Friday,2844,Morning,2844,61.20954774774775,33.92991510668844
1239,Business Insights,19480,Friday,2844,Afternoon,2844,63.488212895696975,31.944825629299373
1240,Business Insights,19480,Friday,2844,Evening,2844,60.58569265673981,32.5113722824776
1245,Business Insights,19480,Saturday,2695,Night,2695,63.047511780029765,32.64848740527676
1246,Business Insights,19480,Saturday,2695,Morning,2695,60.38094948265799,32.41323846413078
1247,Business Insights,19480,Saturday,2695,Afternoon,2695,62.69433333333334,32.28412303819999
1248,Business Insights,19480,Saturday,2695,Evening,2695,60.631324503311255,32.2277138943032
1260,Sport Spot,14778,Sunday,2252,Night,2252,65.77285038765915,30.980256470457068
1261,Sport Spot,14778,Sunday,2252,Morning,2252,60.8511753371869,32.21465368332211
1262,Sport Spot,14778,Sunday,2252,Afternoon,2252,64.83524639456616,31.901780332539225
1263,Sport Spot,14778,Sunday,2252,Evening,2252,62.46536815418518,32.725316923948235
1268,Sport Spot,14778,Monday,2266,Night,2266,65.2487358490566,32.3429470155445
1269,Sport Spot,14778,Monday,2266,Morning,2266,62.644176059322035,32.91838693945866
1270,Sport Spot,14778,Monday,2266,Afternoon,2266,64.28907869481766,30.626541014848215
1271,Sport Spot,14778,Monday,2266,Evening,2266,62.913167938931295,31.390928922630852
1276,Sport Spot,14778,Tuesday,1954,Night,1954,68.21903083700441,31.798848222632575
1277,Sport Spot,14778,Tuesday,1954,Morning,1954,62.55611656378753,32.60043657693688
1278,Sport Spot,14778,Tuesday,1954,Afternoon,1954,67.32070072992701,32.19939654722338
1279,Sport Spot,14778,Tuesday,1954,Evening,1954,65.8521875,32.1025864254473
1284,Sport Spot,14778,Wednesday,2105,Night,2105,69.63569105691056,32.168891592393706
1285,Sport Spot,14778,Wednesday,2105,Morning,2105,65.41150870824053,33.07231614255782
1286,Sport Spot,14778,Wednesday,2105,Afternoon,2105,66.8384792626728,33.29301529492298
1287,Sport Spot,14778,Wednesday,2105,Evening,2105,66.75144927536232,31.34124450343148
1292,Sport Spot,14778,Thursday,2068,Night,2068,63.90247563352827,32.25354145271618
1293,Sport Spot,14778,Thursday,2068,Morning,2068,65.41907090464548,32.24466546725908
1294,Sport Spot,14778,Thursday,2068,Afternoon,2068,63.75471032745592,30.537971052267213
1295,Sport Spot,14778,Thursday,2068,Evening,2068,63.13635124505929,33.19678446621135
1300,Sport Spot,14778,Friday,2180,Night,2180,66.29847426470587,32.636509536990694
1301,Sport Spot,14778,Friday,2180,Morning,2180,60.79023771984882,32.63336478352075
1302,Sport Spot,14778,Friday,2180,Afternoon,2180,64.64242695464362,30.97555062389896
1303,Sport Spot,14778,Friday,2180,Evening,2180,64.60843647540983,32.626668202876566
1308,Sport Spot,14778,Saturday,1953,Night,1953,63.867140442360515,32.20546567741225
1309,Sport Spot,14778,Saturday,1953,Morning,1953,60.89594460091604,32.7178646525761
1310,Sport Spot,14778,Saturday,1953,Afternoon,1953,62.67593181818182,32.616421846560506
1311,Sport Spot,14778,Saturday,1953,Evening,1953,65.06825211627907,32.077147563438544
1323,Digital Digest,16171,Sunday,2694,Night,2694,66.75906593406593,33.115546819345575
1324,Digital Digest,16171,Sunday,2694,Morning,2694,60.726206022187,34.64962062948181
1325,Digital Digest,16171,Sunday,2694,Afternoon,2694,61.31262206148281,33.17339186326577
1326,Digital Digest,16171,Sunday,2694,Evening,2694,63.91793218390805,33.71218173230739
1331,Digital Digest,16171,Monday,2377,Night,2377,67.153500185,32.540773002173005
1332,Digital Digest,16171,Monday,2377,Morning,2377,62.44364634810506,33.36947184147045
1333,Digital Digest,16171,Monday,2377,Afternoon,2377,62.756404255319154,34.41394678176988
1334,Digital Digest,16171,Monday,2377,Evening,2377,62.06689961163221,33.14977690041909
1339,Digital Digest,16171,Tuesday,2087,Night,2087,64.7744577084009,33.23871363435576
1340,Digital Digest,16171,Tuesday,2087,Morning,2087,62.848094262295085,33.01931764648
1341,Digital Digest,16171,Tuesday,2087,Afternoon,2087,61.595213533018864,34.81696712990195
1342,Digital Digest,16171,Tuesday,2087,Evening,2087,64.72638983050848,33.19696875068749
1347,Digital Digest,16171,Wednesday,2043,Night,2043,65.72657335053347,32.31626405827419
1348,Digital Digest,16171,Wednesday,2043,Morning,2043,60.88820877743363,35.125168852529285
1349,Digital Digest,16171,Wednesday,2043,Afternoon,2043,65.99855421686748,33.96494331978572
1350,Digital Digest,16171,Wednesday,2043,Evening,2043,62.913080474434885,35.60252564747717
1355,Digital Digest,16171,Thursday,2787,Night,2787,62.855978647686825,33.601233359285196
1356,Digital Digest,16171,Thursday,2787,Morning,2787,60.23975917767988,34.19979217206601
1357,Digital Digest,16171,Thursday,2787,Afternoon,2787,64.74649349846702,34.90071755119999
1358,Digital Digest,16171,Thursday,2787,Evening,2787,62.69456701030927,35.188119115102886
1363,Digital Digest,16171,Friday,2209,Night,2209,62.87324803149607,32.68914476828583
1364,Digital Digest,16171,Friday,2209,Morning,2209,62.471820083682005,35.14061292826082
1365,Digital Digest,16171,Friday,2209,Afternoon,2209,67.34003512756303,34.343624033012546
1366,Digital Digest,16171,Friday,2209,Evening,2209,59.15088474190083,33.80992192525956
1371,Digital Digest,16171,Saturday,1974,Night,1974,64.19337339662447,32.85308645163028
1372,Digital Digest,16171,Saturday,1974,Morning,1974,66.21665083135392,34.06172675409525
1373,Digital Digest,16171,Saturday,1974,Afternoon,1974,64.2764913577193,34.68800743120926
1374,Digital Digest,16171,Saturday,1974,Evening,1974,64.47001497797356,33.240757062639766
1386,Fashion Forward,17280,Sunday,2756,Night,2756,63.86050746268658,33.466886381123494
1387,Fashion Forward,17280,Sunday,2756,Morning,2756,61.73035675182482,33.38899057625292
1388,Fashion Forward,17280,Sunday,2756,Afternoon,2756,64.6178238341969,33.3767167944337
1389,Fashion Forward,17280,Sunday,2756,Evening,2756,63.148086053412456,34.52455171857431
1394,Fashion Forward,17280,Monday,2729,Night,2729,67.28536231884058,33.22867303038821
1395,Fashion Forward,17280,Monday,2729,Morning,2729,62.297817132313625,33.74334342698474
1396,Fashion Forward,17280,Monday,2729,Afternoon,2729,65.67587140439933,34.77741991790287
1397,Fashion Forward,17280,Monday,2729,Evening,2729,66.96363349131121,33.50465115177544
1402,Fashion Forward,17280,Tuesday,2150,Night,2150,68.74597826086956,34.51595084072889
1403,Fashion Forward,17280,Tuesday,2150,Morning,2150,66.99566779778272,34.795507777850865
1404,Fashion Forward,17280,Tuesday,2150,Afternoon,2150,61.29884210526316,34.224860904475754
1405,Fashion Forward,17280,Tuesday,2150,Evening,2150,66.11970873786409,34.17330060776425
1410,Fashion Forward,17280,Wednesday,2403,Night,2403,68.24637184115524,32.624372150912436
1411,Fashion Forward,17280,Wednesday,2403,Morning,2403,64.27300703319565,34.64431614766501
1412,Fashion Forward,17280,Wednesday,2403,Afternoon,2403,66.99945804195805,34.690967758394955
1413,Fashion Forward,17280,Wednesday,2403,Evening,2403,65.62353463587922,34.274291317448125
1418,Fashion Forward,17280,Thursday,2354,Night,2354,63.61307074154393,33.46567042530069
1419,Fashion Forward,17280,Thursday,2354,Morning,2354,61.33034219066936,35.23640393623684
1420,Fashion Forward,17280,Thursday,2354,Afternoon,2354,64.2064761904762,36.92064317329889
1421,Fashion Forward,17280,Thursday,2354,Evening,2354,63.909881889763774,34.795867162403866
1426,Fashion Forward,17280,Friday,2451,Night,2451,66.03859590747331,34.76945196866269
1427,Fashion Forward,17280,Friday,2451,Morning,2451,62.33925240865322,34.62379334132963
1428,Fashion Forward,17280,Friday,2451,Afternoon,2451,65.36123686300353,33.89834893526308
1429,Fashion Forward,17280,Friday,2451,Evening,2451,65.31509308900178,33.409845795370025
1434,Fashion Forward,17280,Saturday,2437,Night,2437,64.98348314606741,33.24442654472638
